timestamp,a_total_act_energy,a_fund_act_energy,a_total_act_ret_energy,a_fund_act_ret_energy,a_lag_react_energy,a_lead_react_energy,a_max_act_power,a_min_act_power,a_max_aprt_power,a_min_aprt_power,a_max_voltage,a_min_voltage,a_avg_voltage,a_max_current,a_min_current,a_avg_current,b_total_act_energy,b_fund_act_energy,b_total_act_ret_energy,b_fund_act_ret_energy,b_lag_react_energy,b_lead_react_energy,b_max_act_power,b_min_act_power,b_max_aprt_power,b_min_aprt_power,b_max_voltage,b_min_voltage,b_avg_voltage,b_max_current,b_min_current,b_avg_current,c_total_act_energy,c_fund_act_energy,c_total_act_ret_energy,c_fund_act_ret_energy,c_lag_react_energy,c_lead_react_energy,c_max_act_power,c_min_act_power,c_max_aprt_power,c_min_aprt_power,c_max_voltage,c_min_voltage,c_avg_voltage,c_max_current,c_min_current,c_avg_current,n_max_current,n_min_current,n_avg_current
1702200180,0.0000,0.0000,11.7133,11.6937,0.7204,0.0000,-645.4,-779.5,784.5,650.6,241.439,240.382,241.005,3.246,2.701,2.987,0.0000,0.0000,5.5769,5.5729,0.0000,10.6780,-299.2,-378.5,804.1,671.5,241.319,240.143,240.917,3.330,2.783,3.066,0.0000,0.0000,3.9463,3.9400,9.8970,0.0000,-207.6,-271.6,715.3,585.1,241.031,240.210,240.619,2.971,2.433,2.717,0.594,0.575,0.584
1702200240,0.0000,0.0000,10.1975,10.1819,0.6223,0.0000,-563.4,-709.6,715.0,570.5,241.449,240.021,240.852,2.966,2.368,2.646,0.0000,0.0000,4.7135,4.7117,0.0000,9.3150,-257.8,-335.6,725.8,582.7,241.328,240.106,240.720,3.015,2.419,2.700,0.0000,0.0000,3.2813,3.2767,8.6021,0.0000,-171.8,-238.8,652.6,508.0,241.729,240.510,241.009,2.705,2.108,2.380,0.584,0.574,0.578
1702200300,0.0000,0.0000,9.1564,9.1403,0.5543,0.0000,-530.4,-580.2,586.4,537.9,241.083,239.173,240.238,2.431,2.234,2.349,0.0000,0.0000,4.1367,4.1344,0.0000,8.4389,-239.3,-265.6,596.1,550.6,240.662,239.838,240.225,2.479,2.289,2.400,0.0000,0.0000,2.7916,2.7870,7.6931,0.0000,-156.9,-182.1,523.9,476.4,241.148,240.411,240.778,2.174,1.977,2.087,0.586,0.574,0.578
1702200360,0.0000,0.0000,8.7550,8.7388,0.5468,0.0000,-487.1,-541.6,548.2,495.0,240.378,239.194,239.561,2.287,2.062,2.253,0.0000,0.0000,3.9285,3.9267,0.0000,8.1436,-217.5,-247.7,566.3,511.6,240.615,239.540,240.135,2.352,2.128,2.311,0.0000,0.0000,2.6296,2.6249,7.3638,0.0000,-136.7,-165.1,487.9,435.0,241.417,240.742,241.156,2.023,1.802,1.991,0.596,0.572,0.580
1702200420,0.0000,0.0000,5.2678,5.2551,0.3484,0.0000,-255.8,-475.3,483.7,268.8,239.818,237.334,238.424,2.015,1.125,1.389,0.0000,0.0000,2.1024,2.1024,0.0000,5.3168,-90.0,-211.3,499.4,288.8,240.364,239.398,239.860,2.078,1.203,1.478,0.0000,0.0000,1.0907,1.0872,4.3143,0.0000,-34.3,-130.4,422.8,213.8,241.089,239.691,240.361,1.752,0.890,1.155,0.666,0.580,0.607
1702200480,0.0000,0.0000,7.4336,7.4140,0.4320,0.0000,-307.2,-630.5,636.1,319.3,240.588,237.843,239.083,2.641,1.338,1.971,0.0000,0.0000,2.0580,2.0562,0.0577,3.3615,-52.9,-239.3,449.8,95.5,241.401,239.299,240.296,1.871,0.396,1.104,0.0000,0.0000,2.0989,2.0926,6.2310,0.0000,-63.4,-204.5,567.1,276.0,240.104,236.810,238.814,2.391,1.151,1.742,2.552,0.490,1.043
1702200540,0.0000,0.0000,9.5238,9.5083,0.6039,0.0000,-483.7,-665.2,671.2,490.9,239.824,237.094,239.088,2.797,2.052,2.491,0.0000,0.0000,4.0640,4.0617,0.0000,7.6493,-184.8,-296.9,655.6,316.9,241.378,240.103,240.795,2.717,1.314,2.252,0.0000,0.0000,3.0166,3.0131,8.0767,0.0000,-139.0,-218.6,610.0,433.6,241.423,238.932,240.563,2.538,1.803,2.234,1.032,0.453,0.622
1702200600,0.0000,0.0000,11.2346,11.2138,0.6904,0.0000,-495.2,-729.3,734.3,501.2,240.114,238.925,239.704,3.061,2.095,2.837,0.0000,0.0000,5.2920,5.2862,0.0000,10.2881,-217.9,-350.2,756.8,524.1,241.137,239.876,240.582,3.137,2.177,2.902,0.0000,0.0000,3.5547,3.5489,9.5584,0.0000,-138.2,-241.1,670.3,439.3,241.184,240.326,240.729,2.782,1.826,2.561,0.625,0.585,0.608
1702200660,0.0000,0.0000,10.8285,10.8106,0.6575,0.0000,-637.9,-705.5,710.1,642.3,240.799,239.106,240.047,2.950,2.675,2.820,0.0000,0.0000,5.0445,5.0411,0.0000,9.8249,-289.4,-332.1,719.2,653.1,241.249,240.381,240.727,2.981,2.712,2.858,0.0000,0.0000,3.4105,3.4053,9.2158,0.0000,-196.2,-227.2,642.9,579.0,241.024,240.224,240.670,2.672,2.405,2.547,0.598,0.584,0.589
1702200720,0.0000,0.0000,8.5577,8.5364,2.6474,0.0000,-95.0,-710.3,716.0,533.4,240.406,238.063,239.568,2.977,2.236,2.694,0.0000,0.0000,5.6934,5.6928,0.5024,7.3482,-285.2,-486.4,731.3,478.0,241.778,239.222,240.842,3.021,1.994,2.666,1.9784,1.9853,2.5378,2.5338,8.2745,0.0000,494.0,-231.6,651.0,568.3,240.648,238.159,239.738,2.708,2.367,2.546,0.608,0.584,0.590
