NmPratoSopa;NmPratoSopaEN;NmPratoCarne;NmPratoCarneEN;NmPratoPeixe;NmPratoPeixeEN;NmPratoVegetariano;NmPratoVegetarianoEN;NmPratoSobremesa;NmPratoSobremesaEN;Observacoes;DescricaoCarne;DescricaoPeixe;DescricaoVegetariano;DescricaoEmenta;DescricaoEmentaPT;IDPratoSopaFK;IDPratoCarneFK;IDPratoPeixeFK;IDPratoVegetarianoFK;IDPratoSobremesaFK;ReservaAte;ReservasAtePenalizacaoValor;CancelamentoAte;CancelamentoAtePenalizacaoValor;Data;IDEmentaData;DataRefeicao;IDCantinaFK;IDTipoRefeicaoFK;DataRefeicaoOnly;Preco;NmCantina;IDPoloFK;NmPolo;NmTipoRefeicao;NmTipoRefeicaoEN;SopaPTEN;CarnePTEN;PeixePTEN;SobremesaPTEN;VegetarianoPTEN;ImprimePrecos
Cebola com massinhas;Onion soup with macaroni;Febras de cebolada c / puré;Pork steak of onion with mashed potatoes;Peixe espada grelhado com legumes;Grilled swordfish with vegetables;Empadão vegetariano;Vegetarian pie;Fruta;Fruit;;Cebola com massinhas (Onion soup with macaroni)Febras de cebolada c / puré (Pork steak of onion with mashed potatoes)Fruta (Fruit);Cebola com massinhas (Onion soup with macaroni)Peixe espada grelhado com legumes (Grilled swordfish with vegetables)Fruta (Fruit);Cebola com massinhas (Onion soup with macaroni)Empadão vegetariano (Vegetarian pie)Fruta (Fruit);Cebola com massinhas (Onion soup with macaroni)Febras de cebolada c / puré (Pork steak of onion with mashed potatoes)Peixe espada grelhado com legumes (Grilled swordfish with vegetables)Empadão vegetariano (Vegetarian pie)Fruta (Fruit);Cebola com massinhas | Febras de cebolada c / puré | Peixe espada grelhado com legumes | Empadão vegetariano | Fruta;165;222;128;223;15;22/11/2021;0,5;22/11/2021;0,5;22/11/2021;164;22/11/2021;1;1;2021-11-22;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Cebola com massinhas | Onion soup with macaroni;Febras de cebolada c / puré | Pork steak of onion with mashed potatoes;Peixe espada grelhado com legumes | Grilled swordfish with vegetables;Fruta | Fruit;Empadão vegetariano | Vegetarian pie;0
Nabiças;Turnips;Espetadas de peru;Grilled turkey skewers;Salada fria com atum;Cold salad with tuna;Cogumelos salteados c/ arroz;Sautée mushrooms with rice;Pudim;Puding;;Nabiças (Turnips)Espetadas de peru (Grilled turkey skewers)Pudim (Puding);Nabiças (Turnips)Salada fria com atum (Cold salad with tuna)Pudim (Puding);Nabiças (Turnips)Cogumelos salteados c/ arroz (Sautée mushrooms with rice)Pudim (Puding);Nabiças (Turnips)Espetadas de peru (Grilled turkey skewers)Salada fria com atum (Cold salad with tuna)Cogumelos salteados c/ arroz (Sautée mushrooms with rice)Pudim (Puding);Nabiças | Espetadas de peru | Salada fria com atum | Cogumelos salteados c/ arroz | Pudim;224;110;225;226;193;23/11/2021;0,5;23/11/2021;0,5;23/11/2021;165;23/11/2021;1;1;2021-11-23;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Nabiças | Turnips;Espetadas de peru | Grilled turkey skewers;Salada fria com atum | Cold salad with tuna;Pudim | Puding;Cogumelos salteados c/ arroz | Sautée mushrooms with rice;0
Feijão branco com hortaliça;White bean soup with vegetables;Stogonoff de novilho c/ massa fusilli;Veal stogonoff with pasta;Solha frita c/ feijão frade;Fried plaice with black eyed beans;Bolonhesa de soja;Bolognese soy;Fruta;Fruit;;Feijão branco com hortaliça (White bean soup with vegetables)Stogonoff de novilho c/ massa fusilli (Veal stogonoff with pasta)Fruta (Fruit);Feijão branco com hortaliça (White bean soup with vegetables)Solha frita c/ feijão frade (Fried plaice with black eyed beans)Fruta (Fruit);Feijão branco com hortaliça (White bean soup with vegetables)Bolonhesa de soja (Bolognese soy)Fruta (Fruit);Feijão branco com hortaliça (White bean soup with vegetables)Stogonoff de novilho c/ massa fusilli (Veal stogonoff with pasta)Solha frita c/ feijão frade (Fried plaice with black eyed beans)Bolonhesa de soja (Bolognese soy)Fruta (Fruit);Feijão branco com hortaliça | Stogonoff de novilho c/ massa fusilli | Solha frita c/ feijão frade | Bolonhesa de soja | Fruta;102;227;228;229;15;24/11/2021;0,5;24/11/2021;0,5;24/11/2021;166;24/11/2021;1;1;2021-11-24;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Feijão branco com hortaliça | White bean soup with vegetables;Stogonoff de novilho c/ massa fusilli | Veal stogonoff with pasta;Solha frita c/ feijão frade | Fried plaice with black eyed beans;Fruta | Fruit;Bolonhesa de soja | Bolognese soy;0
Peixe;Fish soup;Arroz de carnes;Meat rice;;;Paella vegetariana;Vegetarian paella;Fruta;Fruit;;Peixe (Fish soup)Arroz de carnes (Meat rice)Fruta (Fruit);Peixe (Fish soup) ()Fruta (Fruit);Peixe (Fish soup)Paella vegetariana (Vegetarian paella)Fruta (Fruit);Peixe (Fish soup)Arroz de carnes (Meat rice) ()Paella vegetariana (Vegetarian paella)Fruta (Fruit);Peixe | Arroz de carnes |  | Paella vegetariana | Fruta;56;209;;44;15;26/11/2021;0,5;26/11/2021;0,5;26/11/2021;167;26/11/2021;1;1;2021-11-26;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Peixe | Fish soup;Arroz de carnes | Meat rice; | ;Fruta | Fruit;Paella vegetariana | Vegetarian paella;0
Caldo verde;Soup of shredded kale in potato broth;Stogonoff de novilho c/ massa fusilli;Veal stogonoff with pasta;Pescada c/ todos;Hake with boiled potato, egg and cabbage;Couscous com pimentos;Couscous with peppers;Fruta;Fruit;;Caldo verde (Soup of shredded kale in potato broth)Stogonoff de novilho c/ massa fusilli (Veal stogonoff with pasta)Fruta (Fruit);Caldo verde (Soup of shredded kale in potato broth)Pescada c/ todos (Hake with boiled potato, egg and cabbage)Fruta (Fruit);Caldo verde (Soup of shredded kale in potato broth)Couscous com pimentos (Couscous with peppers)Fruta (Fruit);Caldo verde (Soup of shredded kale in potato broth)Stogonoff de novilho c/ massa fusilli (Veal stogonoff with pasta)Pescada c/ todos (Hake with boiled potato, egg and cabbage)Couscous com pimentos (Couscous with peppers)Fruta (Fruit);Caldo verde | Stogonoff de novilho c/ massa fusilli | Pescada c/ todos | Couscous com pimentos | Fruta;138;227;231;117;15;25/11/2021;0,5;25/11/2021;0,5;25/11/2021;168;25/11/2021;1;1;2021-11-25;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Caldo verde | Soup of shredded kale in potato broth;Stogonoff de novilho c/ massa fusilli | Veal stogonoff with pasta;Pescada c/ todos | Hake with boiled potato, egg and cabbage;Fruta | Fruit;Couscous com pimentos | Couscous with peppers;0
Abóbora c/ lombarda;Pumpkin soup with savoy cabbage;Esparguete à bolonhesa;Spaghetti bolognese;Abrótea estufada c/ puré;White fish stew;;;Fruta;Fruit;;Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Esparguete à bolonhesa (Spaghetti bolognese)Fruta (Fruit);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Abrótea estufada c/ puré (White fish stew)Fruta (Fruit);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage) ()Fruta (Fruit);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Esparguete à bolonhesa (Spaghetti bolognese)Abrótea estufada c/ puré (White fish stew) ()Fruta (Fruit);Abóbora c/ lombarda | Esparguete à bolonhesa | Abrótea estufada c/ puré |  | Fruta;236;92;237;;15;29/11/2021;0,5;29/11/2021;0,5;29/11/2021;173;29/11/2021;1;1;2021-11-29;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Abóbora c/ lombarda | Pumpkin soup with savoy cabbage;Esparguete à bolonhesa | Spaghetti bolognese;Abrótea estufada c/ puré | White fish stew;Fruta | Fruit; | ;0
Grão;Chickpeas soup;Lombo assado com arroz e batata frita;Baked pork loin with fries;Carapau grelhado com molho à espanhola;Grilled horse mackerel with spanish sauce;Cogumelos salteados c/ arroz;Sautée mushrooms with rice;Pudim;Puding;;Grão (Chickpeas soup)Lombo assado com arroz e batata frita (Baked pork loin with fries)Pudim (Puding);Grão (Chickpeas soup)Carapau grelhado com molho à espanhola (Grilled horse mackerel with spanish sauce)Pudim (Puding);Grão (Chickpeas soup)Cogumelos salteados c/ arroz (Sautée mushrooms with rice)Pudim (Puding);Grão (Chickpeas soup)Lombo assado com arroz e batata frita (Baked pork loin with fries)Carapau grelhado com molho à espanhola (Grilled horse mackerel with spanish sauce)Cogumelos salteados c/ arroz (Sautée mushrooms with rice)Pudim (Puding);Grão | Lombo assado com arroz e batata frita | Carapau grelhado com molho à espanhola | Cogumelos salteados c/ arroz | Pudim;60;171;215;226;193;30/11/2021;0,5;30/11/2021;0,5;30/11/2021;174;30/11/2021;1;1;2021-11-30;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Grão | Chickpeas soup;Lombo assado com arroz e batata frita | Baked pork loin with fries;Carapau grelhado com molho à espanhola | Grilled horse mackerel with spanish sauce;Pudim | Puding;Cogumelos salteados c/ arroz | Sautée mushrooms with rice;0
Tomate c/ feijão branco;Tomato soup with white beans;Arroz à valênciana;Valenciana rice;Empadão de peixe;Pie hake;Grão guisado com legumes;Chickpea stew vegetables;Iogurte;Yogurt;;Tomate c/ feijão branco (Tomato soup with white beans)Arroz à valênciana (Valenciana rice)Iogurte (Yogurt);Tomate c/ feijão branco (Tomato soup with white beans)Empadão de peixe (Pie hake)Iogurte (Yogurt);Tomate c/ feijão branco (Tomato soup with white beans)Grão guisado com legumes (Chickpea stew vegetables)Iogurte (Yogurt);Tomate c/ feijão branco (Tomato soup with white beans)Arroz à valênciana (Valenciana rice)Empadão de peixe (Pie hake)Grão guisado com legumes (Chickpea stew vegetables)Iogurte (Yogurt);Tomate c/ feijão branco | Arroz à valênciana | Empadão de peixe | Grão guisado com legumes | Iogurte;239;51;240;104;5;02/12/2021;0,5;02/12/2021;0,5;02/12/2021;175;02/12/2021;1;1;2021-12-02;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Tomate c/ feijão branco | Tomato soup with white beans;Arroz à valênciana | Valenciana rice;Empadão de peixe | Pie hake;Iogurte | Yogurt;Grão guisado com legumes | Chickpea stew vegetables;0
Canja de galinha;Chicken broth;Frango à brás;Flacked chicken with fries and scrambled egg;;;Hambúrguer de vegetais;Vegetable burger;Fruta;Fruit;;Canja de galinha (Chicken broth)Frango à brás (Flacked chicken with fries and scrambled egg)Fruta (Fruit);Canja de galinha (Chicken broth) ()Fruta (Fruit);Canja de galinha (Chicken broth)Hambúrguer de vegetais (Vegetable burger)Fruta (Fruit);Canja de galinha (Chicken broth)Frango à brás (Flacked chicken with fries and scrambled egg) ()Hambúrguer de vegetais (Vegetable burger)Fruta (Fruit);Canja de galinha | Frango à brás |  | Hambúrguer de vegetais | Fruta;114;241;;142;15;03/12/2021;0,5;03/12/2021;0,5;03/12/2021;176;03/12/2021;1;1;2021-12-03;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Canja de galinha | Chicken broth;Frango à brás | Flacked chicken with fries and scrambled egg; | ;Fruta | Fruit;Hambúrguer de vegetais | Vegetable burger;0
Abóbora c/ lombarda;Pumpkin soup with savoy cabbage; Lasanha à Bolonhesa;Lasagna Bolognese;Arroz de lulas;Squid rice;Arroz de ervilhas com cogumelos;Rice peas with mushrooms;Arroz doce;Sweet rice;;Abóbora c/ lombarda (Pumpkin soup with savoy cabbage) Lasanha à Bolonhesa (Lasagna Bolognese)Arroz doce (Sweet rice);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Arroz de lulas (Squid rice)Arroz doce (Sweet rice);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage)Arroz de ervilhas com cogumelos (Rice peas with mushrooms)Arroz doce (Sweet rice);Abóbora c/ lombarda (Pumpkin soup with savoy cabbage) Lasanha à Bolonhesa (Lasagna Bolognese)Arroz de lulas (Squid rice)Arroz de ervilhas com cogumelos (Rice peas with mushrooms)Arroz doce (Sweet rice);Abóbora c/ lombarda |  Lasanha à Bolonhesa | Arroz de lulas | Arroz de ervilhas com cogumelos | Arroz doce;236;233;66;155;85;06/12/2021;0,5;06/12/2021;0,5;06/12/2021;180;06/12/2021;1;1;2021-12-06;0;Cantina 1;1;IPG - Campus;Almoço;Lunch;Abóbora c/ lombarda | Pumpkin soup with savoy cabbage; Lasanha à Bolonhesa | Lasagna Bolognese;Arroz de lulas | Squid rice;Arroz doce | Sweet rice;Arroz de ervilhas com cogumelos | Rice peas with mushrooms;0
